Moldova,MDA,6.35930898
Madagascar,MDG,NA
Maldives,MDV,0.502509414
Middle East & North Africa,MEA,1.844390956
Mexico,MEX,2.821707847
Marshall Islands,MHL,NA
Middle income,MIC,2.349758498
North Macedonia,MKD,-0.239290788
Mali,MLI,-1.799647071
Malta,MLT,0.642702772
Myanmar,MMR,NA
Middle East & North Africa (excluding high income),MNA,2.186861615
Montenegro,MNE,-0.271385023
Mongolia,MNG,1.05535328
Northern Mariana Islands,MNP,NA
Mozambique,MOZ,NA
Mauritania,MRT,1.471710456
Mauritius,MUS,0.977675135
Malawi,MWI,21.71111321
Malaysia,MYS,2.090566595
North America,NAC,1.345171376
Namibia,NAM,6.727795407
New Caledonia,NCL,0.578317436
Niger,NER,1.653889224
Nigeria,NGA,15.67534055
Nicaragua,NIC,3.523173176
Netherlands,NLD,0.316666667
Norway,NOR,3.55
Nepal,NPL,8.79034332
Nauru,NRU,NA
New Zealand,NZL,0.646240284
OECD members,OED,0.443258966
Oman,OMN,1.109208058
Other small states,OSS,1.575302229
Pakistan,PAK,3.765119164
Panama,PAN,0.739734025
Peru,PER,3.592113241
Philippines,PHL,1.253698801
Palau,PLW,-1.042305334
Papua New Guinea,PNG,6.673728814
Poland,POL,-0.664767331
Pre-demographic dividend,PRE,3.190561797
Puerto Rico,PRI,NA
"Korea, Dem. People’s Rep.",PRK,NA
Portugal,PRT,0.607397075
Paraguay,PRY,4.086822806
West Bank and Gaza,PSE,-0.219106605
Pacific island small states,PSS,0.842069084
Post-demographic dividend,PST,0.607397075
French Polynesia,PYF,NA
Qatar,QAT,2.872559911
Romania,ROU,-1.544796668
Russian Federation,RUS,7.042437254
Rwanda,RWA,7.17434302
South Asia,SAS,4.347030355
Saudi Arabia,SAU,2.053470768
Sudan,SDN,NA
Senegal,SEN,0.837284943
Singapore,SGP,-0.532286132
Solomon Islands,SLB,0.512485626
Sierra Leone,SLE,10.88328586
El Salvador,SLV,0.604049087
San Marino,SMR,0.57394802
Somalia,SOM,NA
Serbia,SRB,1.122313974
Sub-Saharan Africa (excluding high income),SSA,5.430519661
South Sudan,SSD,379.8480206
Sub-Saharan Africa,SSF,5.302642977
Small states,SST,0.977675135
Sao Tome and Principe,STP,5.430519661
Suriname,SUR,NA
Slovak Republic,SVK,-0.520010196
Slovenia,SVN,-0.054999542
Sweden,SWE,0.984269245
Eswatini,SWZ,7.847274591
Sint Maarten (Dutch part),SXM,0.111682656
Seychelles,SYC,-1.015481917
Syrian Arab Republic,SYR,NA
Turks and Caicos Islands,TCA,NA
Chad,TCD,NA
East Asia & Pacific (IDA & IBRD countries),TEA,1.451587327
Europe & Central Asia (IDA & IBRD countries),TEC,0.755576136
Togo,TGO,1.285448471
Thailand,THA,0.188149704
Tajikistan,TJK,6.004580823
Turkmenistan,TKM,NA
Latin America & the Caribbean (IDA & IBRD countries),TLA,2.724612233
Timor-Leste,TLS,-1.338538762
Middle East & North Africa (IDA & IBRD countries),TMN,2.738412087
Tonga,TON,2.578155152
South Asia (IDA & IBRD),TSA,4.347030355
Sub-Saharan Africa (IDA & IBRD countries),TSS,5.302642977
Trinidad and Tobago,TTO,3.070667425
Tunisia,TUN,3.629399374
Turkey,TUR,7.775134153
Tuvalu,TUV,NA
Tanzania,TZA,5.174766293
Uganda,UGA,5.706375046
Ukraine,UKR,13.9127102
Upper middle income,UMC,1.728264633
Uruguay,URY,9.639413476
United States,USA,1.261583206
Uzbekistan,UZB,NA
St. Vincent and the Grenadines,VCT,-0.149641648
"Venezuela, RB",VEN,254.9485348
British Virgin Islands,VGB,NA
Virgin Islands (U.S.),VIR,NA
Vietnam,VNM,3.243567431
Vanuatu,VUT,0.842069084
World,WLD,1.411939155
Samoa,WSM,1.306261183
Kosovo,XKX,0.273169431
"Yemen, Rep.",YEM,NA
South Africa,ZAF,6.594604415
Zambia,ZMB,17.86973008
Zimbabwe,ZWE,-1.566412967
